population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,560,Oregon,2,Female,17,60-64 years,491,Cardiovascular diseases,2,Percent,2023,0.17158088282921138,0.1839193536587298,0.15901037121931977
1,All Population,1,Deaths,560,Oregon,1,Male,17,60-64 years,491,Cardiovascular diseases,3,Rate,2023,321.8037567049862,351.5192122804202,296.5724835015983
1,All Population,1,Deaths,560,Oregon,2,Female,17,60-64 years,491,Cardiovascular diseases,3,Rate,2023,136.275819050144,152.11361058405927,118.62561877803968
1,All Population,1,Deaths,560,Oregon,1,Male,18,65-69 years,491,Cardiovascular diseases,1,Number,2023,596.565505542157,641.4661093175721,548.0086285525408
1,All Population,1,Deaths,560,Oregon,2,Female,18,65-69 years,491,Cardiovascular diseases,1,Number,2023,293.6983256060849,324.78621087042023,261.50831804983113
1,All Population,1,Deaths,560,Oregon,1,Male,18,65-69 years,491,Cardiovascular diseases,2,Percent,2023,0.25752384451302585,0.27033366967481637,0.24403263079750967
1,All Population,1,Deaths,560,Oregon,2,Female,18,65-69 years,491,Cardiovascular diseases,2,Percent,2023,0.18416544043725896,0.19734237793127835,0.1688590590786532
1,All Population,1,Deaths,560,Oregon,1,Male,18,65-69 years,491,Cardiovascular diseases,3,Rate,2023,476.55452581207317,512.4224828797933,437.7658273812578
1,All Population,1,Deaths,560,Oregon,2,Female,18,65-69 years,491,Cardiovascular diseases,3,Rate,2023,212.3992847980321,234.88168943007034,189.11983787411035
1,All Population,1,Deaths,560,Oregon,1,Male,19,70-74 years,491,Cardiovascular diseases,1,Number,2023,773.6405357099561,842.2884636670552,720.9869517870735
1,All Population,1,Deaths,560,Oregon,2,Female,19,70-74 years,491,Cardiovascular diseases,1,Number,2023,427.4919542772373,470.6505678286937,374.67558937484347
1,All Population,1,Deaths,560,Oregon,1,Male,19,70-74 years,491,Cardiovascular diseases,2,Percent,2023,0.2725183756181962,0.28555933517460774,0.25682679120204077
1,All Population,1,Deaths,560,Oregon,2,Female,19,70-74 years,491,Cardiovascular diseases,2,Percent,2023,0.2123495139915722,0.22872054115562795,0.1901551548637077
1,All Population,1,Deaths,560,Oregon,1,Male,19,70-74 years,491,Cardiovascular diseases,3,Rate,2023,705.9256412095642,768.5649812182313,657.8806987885564
1,All Population,1,Deaths,560,Oregon,2,Female,19,70-74 years,491,Cardiovascular diseases,3,Rate,2023,348.5209741309297,383.7068574828749,305.4614246782184
1,All Population,1,Deaths,560,Oregon,1,Male,20,75-79 years,491,Cardiovascular diseases,1,Number,2023,888.0339091220367,958.5713800015344,812.4727138063388
