"","Baker","Round_1_Technical","Round_1","Round_2_Technical","Round_2","Round_3_Technical","Round_3","Round_4_Technical","Round_4","Round_5_Technical","Round_5","Round_6_Technical","Round_6","Round_7_Technical","Round_7","Round_8_Technical","Round_8","Round_9_Technical","Round_9","Round_10_Technical","Round_10","Technicals","Star_Bakers","series"
"102","Maxy",10,"SAFE",5,"SB",2,"SAFE",1,"SB",3,"SAFE",6,"SAFE",2,"SAFE",5,"OUT",NA,"",NA,"",1,2,"13"
"103","Kevin",4,"SAFE",8,"SAFE",7,"LOW",4,"SAFE",5,"SAFE",3,"LOW",3,"OUT",NA,"",NA,"",NA,"",0,0,"13"
"104","Dawn",3,"SAFE",9,"SAFE",6,"LOW",5,"HIGH",7,"LOW",5,"OUT",NA,"",NA,"",NA,"",NA,"",0,0,"13"
"105","Carole",8,"SAFE",4,"LOW",8,"LOW",10,"LOW",6,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"13"
"106","James",12,"SAFE",2,"HIGH",3,"SAFE",8,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"13"
"107","Rebs",11,"LOW",1,"LOW",NA,"SAFE",9,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"13"
"108","Maisam",5,"LOW",7,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"13"
"109","Will",9,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"13"
"110","Matty",7,"SAFE",5,"SAFE",7,"SAFE",2,"SB",7,"SAFE",4,"LOW",6,"SAFE",3,"SB",2,"LOW",3,"WINNER",0,2,"14"
"111","Dan",1,"SB",2,"SAFE",10,"LOW",1,"HIGH",1,"SAFE",3,"SAFE",2,"SB",5,"LOW",3,"HIGH",2,"Runnerup",3,2,"14"
"112","Josh",8,"SAFE",6,"HIGH",4,"HIGH",6,"SAFE",8,"HIGH",2,"SB",3,"HIGH",4,"HIGH",1,"SB",1,"Runnerup",2,2,"14"
"113","Tasha",11,"SAFE",8,"SB",2,"SB",NA,"SAFE",3,"SAFE",7,"HIGH",1,"SAFE",1,"SAFE",4,"OUT",NA,"",2,2,"14"
"114","Cristy",6,"HIGH",9,"SAFE",6,"SAFE",7,"LOW",5,"SB",1,"HIGH",4,"LOW",2,"OUT",NA,"",NA,"",1,1,"14"
"115","Saku",5,"SAFE",10,"SAFE",1,"SAFE",8,"LOW",6,"LOW",5,"LOW",5,"OUT",NA,"",NA,"",NA,"",1,0,"14"
"116","Dana",12,"LOW",7,"SAFE",3,"SAFE",5,"SAFE",2,"LOW",6,"OUT",NA,"",NA,"",NA,"",NA,"",0,0,"14"
"117","Nicky",10,"LOW",4,"LOW",5,"SAFE",4,"HIGH",9,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"14"
"118","Rowan",9,"SAFE",3,"SAFE",9,"LOW",3,"SAFE",4,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"14"
"119","Abbi",3,"HIGH",1,"SAFE",8,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",1,0,"14"
"120","Keith",4,"SAFE",11,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"14"
"121","Amos",2,"OUT",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",0,0,"14"
