DATAFLOW,Geographic area,INDICATOR,RESIDENCE,SEX,Current age,TIME_PERIOD,OBS_VALUE,DATA_SOURCE,UNIT_MEASURE,UNIT_MULTIPLIER,SOURCE_LINK,SERIES_FOOTNOTE,OBS_FOOTNOTE,OBS_STATUS
UNICEF:DM(1.0): Demography,UNDEV_002: Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,46.222,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_002: Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,45.932,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_002: Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,45.625,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_002: Africa (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2025,45.307,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2016,30.526,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2017,30.089,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2018,29.658,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2019,29.234,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2020,28.826,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2021,28.445,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2022,28.063,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2023,27.653,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
UNICEF:DM(1.0): Demography,UNDEV_419: Latin America and the Caribbean (UN Regions),DM_POP_CHILD_PROP: Children population as proportion of total population (%),_T: Total,_T: Total,_T: Total,2024,27.239,"United Nations, Department of Economic and Social Affairs, Population Division (2024). World Population Prospects 2024.",PCNT: %,0: Units,https://population.un.org/wpp/,,,PRED: Predicted
