DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,EDUCATION_LEVEL:Education Level,WEALTH_QUINTILE:Wealth Quintile,RESIDENCE:Residence,NUMBER_CHLD:Number of Living Children,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOURCE_LINK:Citation of or link to the data source,SERIES_FOOTNOTE:Series footnote,SOWC_FLAG_F:SOWC flag F,SOWC_FLAG_E:SOWC flag E,SOWC_FLAG_D:SOWC flag D,SOWC_FLAG_C:SOWC flag C,SOWC_FLAG_A:SOWC flag A,SOWC_FLAG_B:SOWC flag B,OBS_STATUS:Observation Status,OBS_CONF:Observation confidentaility,DATA_SOURCE:Data Source,LOWER_BOUND:Lower Bound,UPPER_BOUND:Upper Bound,WGTD_SAMPL_SIZE:Weighted Sample Size,UNWGTD_SAMPL_SIZE:Unweighted Sample Size,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,COVERAGE_TIME:The period of time for which data are provided,FREQ_COLL:Time interval at which the source data are collected,OBS_FOOTNOTE:Observation footnote
UNICEF:PT(1.0): Child Protection,GAB: Gabon,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,5.4,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"DHS 2019-21, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-21,0: Not Known,
UNICEF:PT(1.0): Child Protection,GAB: Gabon,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,7,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"DHS 2019-21, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-21,0: Not Known,
UNICEF:PT(1.0): Child Protection,GAB: Gabon,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,3.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"DHS 2019-21, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-21,0: Not Known,
UNICEF:PT(1.0): Child Protection,GHA: Ghana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,5.5,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"HIES 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GHA: Ghana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,5.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"HIES 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GHA: Ghana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,5,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"HIES 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GIN: Guinea,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,19.5,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2016, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,GIN: Guinea,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,21.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2016, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,GIN: Guinea,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,17.8,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2016, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,GMB: Gambia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,15.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"LFS 2022-23, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022-23,0: Not Known,
UNICEF:PT(1.0): Child Protection,GMB: Gambia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,16,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"LFS 2022-23, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022-23,0: Not Known,
UNICEF:PT(1.0): Child Protection,GMB: Gambia,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,14.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"LFS 2022-23, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022-23,0: Not Known,
UNICEF:PT(1.0): Child Protection,GNB: Guinea-Bissau,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,30.4,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"EHCVM 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GNB: Guinea-Bissau,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,30,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"EHCVM 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GNB: Guinea-Bissau,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,30.7,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"EHCVM 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,GTM: Guatemala,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y7T17: 7 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,12.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,"y: Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",RA: Reanalysed,,"ENEI 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,Age is 7-17 years
UNICEF:PT(1.0): Child Protection,GTM: Guatemala,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y7T17: 7 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,15.5,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,"y: Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",RA: Reanalysed,,"ENEI 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,Age is 7-17 years
UNICEF:PT(1.0): Child Protection,GTM: Guatemala,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y7T17: 7 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,8.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,"y: Data differ from the standard definition or refer to only part of a country. If they fall within the noted reference period, such data are included in the calculation of regional and global averages.",RA: Reanalysed,,"ENEI 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,Age is 7-17 years
UNICEF:PT(1.0): Child Protection,GUY: Guyana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2020,4.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"MICS 2019-20, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-20,0: Not Known,
UNICEF:PT(1.0): Child Protection,GUY: Guyana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2020,5.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"MICS 2019-20, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-20,0: Not Known,
UNICEF:PT(1.0): Child Protection,GUY: Guyana,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2020,4.6,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"MICS 2019-20, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2019-20,0: Not Known,
UNICEF:PT(1.0): Child Protection,HND: Honduras,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,12.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"ENTIH 2023, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2023,0: Not Known,
UNICEF:PT(1.0): Child Protection,HND: Honduras,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,17.5,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"ENTIH 2023, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2023,0: Not Known,
UNICEF:PT(1.0): Child Protection,HND: Honduras,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,8.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"ENTIH 2023, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2023,0: Not Known,
UNICEF:PT(1.0): Child Protection,IRQ: Iraq,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,3.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,IRQ: Iraq,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,4.3,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,IRQ: Iraq,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2018,1.9,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"MICS 2018, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2018,0: Not Known,
UNICEF:PT(1.0): Child Protection,JAM: Jamaica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,2.6,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,JAM: Jamaica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,3,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,JAM: Jamaica,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2022,2.1,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2022, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2022,0: Not Known,
UNICEF:PT(1.0): Child Protection,JOR: Jordan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,1.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"CLS 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,JOR: Jordan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,2.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"CLS 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,JOR: Jordan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2016,0.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,x: Data refer to years or periods other than those specified in the column heading. Such data are not included in the calculation of regional and global averages. Estimates from data years prior to 2000 are not displayed.,,RA: Reanalysed,,"CLS 2016, ILO Harmonized Microdata, https://ilostat.ilo.org/",,,,,EOF: End of fieldwork,2016,0: Not Known,
UNICEF:PT(1.0): Child Protection,KEN: Kenya,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,4.3,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"CHS 2021, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2021,0: Not Known,
UNICEF:PT(1.0): Child Protection,KEN: Kenya,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,5.3,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"CHS 2021, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2021,0: Not Known,
UNICEF:PT(1.0): Child Protection,KEN: Kenya,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),F: Female,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2021,3.2,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RA: Reanalysed,,"CHS 2021, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2021,0: Not Known,
UNICEF:PT(1.0): Child Protection,KGZ: Kyrgyzstan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),_T: Total,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,18,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2023, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2023,0: Not Known,
UNICEF:PT(1.0): Child Protection,KGZ: Kyrgyzstan,PT_CHLD_5-17_LBR_ECON: Percentage of children (aged 5-17 years) engaged in child labour (economic activities),M: Male,Y5T17: 5 to 17 years old,_T: Total,_T: Total,_T: Total,_T: Total,2023,21.6,,PCNT: %,,"While trend data are available, changes in the indicator definitions, age groups covered, as well as the measures and questions used to collect the information have changed over time. These factors affect the comparability of available data sources and require careful review and assessment in order to accurately and reliably draw conclusions about trends over time for most countries. For this reason, trend data for this indicator are not included in UNICEF global databases.",,,,,,,RP: Reported,,"MICS 2023, UNICEF and ILO calculations",,,,,EOF: End of fieldwork,2023,0: Not Known,
