DATAFLOW,REF_AREA:Geographic area,INDICATOR:Indicator,SEX:Sex,AGE:Current age,RESIDENCE:Residence,EDUCATION_LEVEL:Education Level,TIME_PERIOD:Time period,OBS_VALUE:Observation Value,SERIES_FOOTNOTE:Series footnote,UNIT_MULTIPLIER:Unit multiplier,UNIT_MEASURE:Unit of measure,SOWC_FLAG_A:SOWC flag A,OBS_FOOTNOTE:Observation footnote,OBS_STATUS:Observation Status,DATA_SOURCE:Data Source,OBS_CONF:Observation confidentaility,TIME_PERIOD_METHOD:Time period activity related to when the data are collected,FREQ_COLL:Time interval at which the source data are collected
UNICEF:GENDER(1.0): Gender,AU_AFRICA: African Union,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,60.4,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_AFRICA: African Union,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,55.9,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_EASTERN_AFRICA: Eastern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,56.6,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_NORTHERN_AFRICA: Northern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,96.6,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_NORTHERN_AFRICA: Northern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,94.1,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_NORTHERN_AFRICA: Northern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,92.3,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_SOUTHERN_AFRICA: Southern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,62.9,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_SOUTHERN_AFRICA: Southern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,60,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_SOUTHERN_AFRICA: Southern Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,61.7,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_WESTERN_AFRICA: Western Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,55,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_WESTERN_AFRICA: Western Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,47.1,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AU_WESTERN_AFRICA: Western Africa (African Union),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,38.9,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_AMU: Arab Maghreb Union (AMU),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,93.4,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_AMU: Arab Maghreb Union (AMU),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,90.1,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_AMU: Arab Maghreb Union (AMU),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,87.2,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_CEN_SAD: Community of Sahel-Saharan States (CEN-SAD),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,66.8,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_CEN_SAD: Community of Sahel-Saharan States (CEN-SAD),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,60.7,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_CEN_SAD: Community of Sahel-Saharan States (CEN-SAD),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,54.2,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_COMESA: Common Market for Eastern and Southern Africa (COMESA),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,64.3,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS: Economic Community of West African States (ECOWAS),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,55,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS: Economic Community of West African States (ECOWAS),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,47.1,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS: Economic Community of West African States (ECOWAS),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,38.9,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS_202502: Economic Community of West African States (ECOWAS 2025),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,M: Male,_T: Total,_T: Total,_T: Total,2022,52.7,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS_202502: Economic Community of West African States (ECOWAS 2025),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,45.3,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_ECOWAS_202502: Economic Community of West African States (ECOWAS 2025),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,F: Female,_T: Total,_T: Total,_T: Total,2022,37.3,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AUREC_IGAD: Intergovernmental Authority on Development (IGAD),GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2022,56.6,,,PCNT: %,,,,UNICEF Aggregates,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2016,73,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2017,84,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2018,84,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2019,84,,,PCNT: %,,,,SDG Portal,,,
UNICEF:GENDER(1.0): Gender,AZE: Azerbaijan,GN_IT_MOB_OWN: Proportion of individuals who own a mobile telephone,_T: Total,_T: Total,_T: Total,_T: Total,2020,84,,,PCNT: %,,,,SDG Portal,,,
